row,cluster
C1orf54,cluster2
KCNK17,cluster2
SHD,cluster2
DNAJB11,cluster2
RFTN1,cluster2
CLEC2D,cluster2
LBH,cluster2
CST7,cluster2
CD48,cluster2
IL9R,cluster2
GPR146,cluster2
TAGAP,cluster2
FOXP3,cluster2
HOXA9,cluster2
ORMDL3,cluster2
APBB1IP,cluster2
SPINT2,cluster2
RNASE1,cluster2
VSIG1,cluster2
BPI,cluster2
PTPRS,cluster2
ACOT11,cluster2
BASP1,cluster2
CD84,cluster2
NUP50,cluster2
JCHAIN,cluster2
SLC7A5,cluster2
IL22RA2,cluster2
RAB40C,cluster2
MRC2,cluster2
PREX1,cluster2
RAMP1,cluster2
OGG1,cluster2
KIAA1462,cluster2
TLE4,cluster2
ADCY4,cluster2
TBC1D1,cluster2
XPO6,cluster2
KMT2A,cluster2
MEX3C,cluster2
BTNL8,cluster2
SATB1,cluster2
P2RX5,cluster2
IL13,cluster2
MAGEF1,cluster2
CECR6,cluster2
WNT5A,cluster2
KHDRBS3,cluster2
FAM117A,cluster2
SELL,cluster2
CCDC88C,cluster2
SPECC1,cluster2
GPR174,cluster2
FOXI1,cluster2
MSI2,cluster2
MEI1,cluster2
LRIG1,cluster2
RASAL1,cluster2
UCK2,cluster2
S100B,cluster2
RLTPR,cluster2
BCL11B,cluster2
CD3G,cluster2
IL1RL2,cluster2
IL17RA,cluster2
PTGDS,cluster2
VPREB3,cluster2
HIC1,cluster2
PRKD2,cluster2
PLEKHO1,cluster2
KCNK6,cluster2
MATK,cluster2
SPIB,cluster2
CD207,cluster2
CCL13,cluster2
PSIP1,cluster2
CACNA1I,cluster2
GAREML,cluster2
MEST,cluster2
RASA3,cluster2
ASAP2,cluster2
ECM1,cluster2
ZNF853,cluster2
TNK1,cluster2
BACH2,cluster2
TNFSF11,cluster2
RASD1,cluster2
LRP5,cluster2
C10orf105,cluster2
TMCC2,cluster2
GPR65,cluster2
LYRM1,cluster2
EAF2,cluster2
SEPT7,cluster2
DAZAP2,cluster2
KIF21A,cluster2
DNASE1L3,cluster2
DSC2,cluster2
STK4,cluster2
FOXN2,cluster2
CELF2,cluster2
IKZF2,cluster2
CCNG2,cluster2
BLM,cluster2
IGF1R,cluster2
RCOR3,cluster2
PAK2,cluster2
SERINC5,cluster2
ITPKB,cluster2
DPPA4,cluster2
SAG,cluster2
MTL5,cluster2
NRROS,cluster2
ARHGEF40,cluster2
MYO18A,cluster2
NOTCH1,cluster2
TET2,cluster2
CPT1A,cluster2
CBX6,cluster2
ITGAX,cluster2
GID8,cluster2
TMEM164,cluster2
SETD1B,cluster2
PLP2,cluster2
ULK1,cluster2
ETV6,cluster2
PSD4,cluster2
SUSD6,cluster2
