geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000165115,3,protein_coding,KIF27,03,brown
ENSG00000165140,4,protein_coding,FBP1,04,yellow
ENSG00000165164,1,protein_coding,CFAP47,01,turquoise
ENSG00000165168,4,protein_coding,CYBB,04,yellow
ENSG00000165215,0,protein_coding,CLDN3,00,grey
ENSG00000165269,0,protein_coding,AQP7,00,grey
ENSG00000165280,2,protein_coding,VCP,02,blue
ENSG00000165304,9,protein_coding,MELK,09,magenta
ENSG00000165312,3,protein_coding,OTUD1,03,brown
ENSG00000165322,0,protein_coding,ARHGAP12,00,grey
ENSG00000165410,0,protein_coding,CFL2,00,grey
ENSG00000165417,0,protein_coding,GTF2A1,00,grey
ENSG00000165434,2,protein_coding,PGM2L1,02,blue
ENSG00000165457,4,protein_coding,FOLR2,04,yellow
ENSG00000165480,2,protein_coding,SKA3,02,blue
ENSG00000165501,9,protein_coding,LRR1,09,magenta
ENSG00000165632,1,protein_coding,TAF3,01,turquoise
ENSG00000165644,7,protein_coding,COMTD1,07,black
ENSG00000165646,8,protein_coding,SLC18A2,08,pink
ENSG00000165698,0,protein_coding,C9orf9,00,grey
ENSG00000165804,1,protein_coding,ZNF219,01,turquoise
ENSG00000165816,3,protein_coding,VWA2,03,brown
ENSG00000165821,1,protein_coding,SALL2,01,turquoise
ENSG00000165912,7,protein_coding,PACSIN3,07,black
ENSG00000165916,10,protein_coding,PSMC3,10,purple
ENSG00000166002,4,protein_coding,SMCO4,04,yellow
ENSG00000166106,3,protein_coding,ADAMTS15,03,brown
ENSG00000166111,0,protein_coding,SVOP,00,grey
ENSG00000166126,7,protein_coding,AMN,07,black
ENSG00000166272,3,protein_coding,WBP1L,03,brown
ENSG00000166340,4,protein_coding,TPP1,04,yellow
ENSG00000166391,0,protein_coding,MOGAT2,00,grey
ENSG00000166398,0,protein_coding,KIAA0355,00,grey
ENSG00000166401,8,protein_coding,SERPINB8,08,pink
ENSG00000166451,2,protein_coding,CENPN,02,blue
ENSG00000166455,1,protein_coding,C16orf46,01,turquoise
ENSG00000166482,3,protein_coding,MFAP4,03,brown
ENSG00000166484,0,protein_coding,MAPK7,00,grey
ENSG00000166507,1,protein_coding,NDST2,01,turquoise
ENSG00000166508,9,protein_coding,MCM7,09,magenta
ENSG00000166557,8,protein_coding,TMED3,08,pink
ENSG00000166592,5,protein_coding,RRAD,05,green
ENSG00000166803,9,protein_coding,KIAA0101,09,magenta
ENSG00000166819,1,protein_coding,PLIN1,01,turquoise
ENSG00000166823,7,protein_coding,MESP1,07,black
ENSG00000166825,0,protein_coding,ANPEP,00,grey
ENSG00000166851,9,protein_coding,PLK1,09,magenta
ENSG00000166886,3,protein_coding,NAB2,03,brown
ENSG00000166900,4,protein_coding,STX3,04,yellow
ENSG00000166922,0,protein_coding,SCG5,00,grey
ENSG00000166974,2,protein_coding,MAPRE2,02,blue
ENSG00000166986,6,protein_coding,MARS,06,red
ENSG00000167034,0,protein_coding,NKX3-1,00,grey
ENSG00000167074,3,protein_coding,TEF,03,brown
ENSG00000167085,10,protein_coding,PHB,10,purple
ENSG00000167114,7,protein_coding,SLC27A4,07,black
ENSG00000167183,1,protein_coding,PRR15L,01,turquoise
ENSG00000167272,1,protein_coding,POP5,01,turquoise
ENSG00000167306,7,protein_coding,MYO5B,07,black
ENSG00000167311,1,protein_coding,ART5,01,turquoise
